Operacao,Estrutura,k,Esparsidade,Tempo_ns,Memoria_Bytes
SET,Hash,15,3.75e-08,4997,642592
SET,Tree,15,3.75e-08,9265,4320
GET,Hash,15,3.75e-08,672,0
GET,Tree,15,3.75e-08,1731,0
SOMA,Hash,16,4e-08,280175,645712
SOMA,Tree,16,4e-08,22268,9216
MULT,Hash,16,4e-08,220765,640000
MULT,Tree,16,4e-08,1859,0
TRANS,Hash,16,4e-08,20,0
TRANS,Tree,16,4e-08,21,0
ESCALAR,Hash,16,4e-08,49791,0
ESCALAR,Tree,16,4e-08,555,0
SET,Hash,16,4e-08,5048,642720
SET,Tree,16,4e-08,10157,4608
GET,Hash,16,4e-08,642,0
GET,Tree,16,4e-08,2022,0
SOMA,Hash,17,4.25e-08,282428,645968
SOMA,Tree,17,4.25e-08,22885,9792
MULT,Hash,17,4.25e-08,219824,640000
MULT,Tree,17,4.25e-08,2187,0
TRANS,Hash,17,4.25e-08,21,0
TRANS,Tree,17,4.25e-08,22,0
ESCALAR,Hash,17,4.25e-08,49987,0
ESCALAR,Tree,17,4.25e-08,618,0
SET,Hash,17,4.25e-08,5131,642848
SET,Tree,17,4.25e-08,10341,4896
GET,Hash,17,4.25e-08,709,0
GET,Tree,17,4.25e-08,1807,0
SOMA,Hash,18,4.5e-08,285402,646224
SOMA,Tree,18,4.5e-08,24658,10368
MULT,Hash,18,4.5e-08,220740,640000
MULT,Tree,18,4.5e-08,2201,0
TRANS,Hash,18,4.5e-08,21,0
TRANS,Tree,18,4.5e-08,22,0
ESCALAR,Hash,18,4.5e-08,49956,0
ESCALAR,Tree,18,4.5e-08,691,0
SET,Hash,18,4.5e-08,5501,642976
SET,Tree,18,4.5e-08,11320,5184
GET,Hash,18,4.5e-08,797,0
GET,Tree,18,4.5e-08,2094,0
SOMA,Hash,19,4.75e-08,282076,646480
SOMA,Tree,19,4.75e-08,25847,10944
MULT,Hash,19,4.75e-08,220195,640000
MULT,Tree,19,4.75e-08,2199,0
TRANS,Hash,19,4.75e-08,21,0
TRANS,Tree,19,4.75e-08,20,0
ESCALAR,Hash,19,4.75e-08,50016,0
ESCALAR,Tree,19,4.75e-08,733,0
SET,Hash,19,4.75e-08,5838,643104
SET,Tree,19,4.75e-08,12123,5472
GET,Hash,19,4.75e-08,782,0
GET,Tree,19,4.75e-08,2403,0
SOMA,Hash,20,5e-08,283529,646736
SOMA,Tree,20,5e-08,27775,11520
MULT,Hash,20,5e-08,221755,640000
MULT,Tree,20,5e-08,2358,0
TRANS,Hash,20,5e-08,20,0
TRANS,Tree,20,5e-08,24,0
ESCALAR,Hash,20,5e-08,49767,0
ESCALAR,Tree,20,5e-08,675,0
SET,Hash,20,5e-08,6279,643232
SET,Tree,20,5e-08,12514,5760
GET,Hash,20,5e-08,898,0
GET,Tree,20,5e-08,2284,0
SOMA,Hash,21,5.25e-08,283292,646992
SOMA,Tree,21,5.25e-08,28005,12008
MULT,Hash,21,5.25e-08,220621,640336
MULT,Tree,21,5.25e-08,3138,288
TRANS,Hash,21,5.25e-08,20,0
TRANS,Tree,21,5.25e-08,21,0
ESCALAR,Hash,21,5.25e-08,49901,0
ESCALAR,Tree,21,5.25e-08,699,0
SET,Hash,21,5.25e-08,6568,643360
SET,Tree,21,5.25e-08,13157,6048
GET,Hash,21,5.25e-08,970,0
GET,Tree,21,5.25e-08,2452,0
SOMA,Hash,22,5.5e-08,283903,647248
SOMA,Tree,22,5.5e-08,29782,12672
MULT,Hash,22,5.5e-08,225561,640000
MULT,Tree,22,5.5e-08,2739,0
TRANS,Hash,22,5.5e-08,21,0
TRANS,Tree,22,5.5e-08,21,0
