Operacao,Estrutura,N,Esparsidade,Tempo_ns,Memoria_Bytes
SOMA,Densa,1000000,1e-09,-1,0
SOMA,Est1(Hash),1000000,1e-09,19624472,32327872
SOMA,Est2(Tree),1000000,1e-09,1952205,575736
MULT,Densa,1000000,1e-09,-1,0
MULT,Est1(Hash),1000000,1e-09,16345602,32000336
MULT,Est2(Tree),1000000,1e-09,186384,288
ESCALAR,Densa,1000000,1e-09,-1,0
ESCALAR,Est1(Hash),1000000,1e-09,2520666,0
ESCALAR,Est2(Tree),1000000,1e-09,29306,0
SET,Densa,1000000,1e-09,-1,0
SET,Est1(Hash),1000000,1e-09,364707,32162160
SET,Est2(Tree),1000000,1e-09,728206,287912
GET,Densa,1000000,1e-09,-1,0
GET,Est1(Hash),1000000,1e-09,43160,0
GET,Est2(Tree),1000000,1e-09,169029,0
TRANS,Densa,1000000,1e-08,-1,0
TRANS,Est1(Hash),1000000,1e-08,57,0
TRANS,Est2(Tree),1000000,1e-08,19,0
SOMA,Densa,1000000,1e-08,-1,0
SOMA,Est1(Hash),1000000,1e-08,28930583,35209680
SOMA,Est2(Tree),1000000,1e-08,20218084,5727000
MULT,Densa,1000000,1e-08,-1,0
MULT,Est1(Hash),1000000,1e-08,12905377,32016704
MULT,Est2(Tree),1000000,1e-08,2493675,29376
ESCALAR,Densa,1000000,1e-08,-1,0
ESCALAR,Est1(Hash),1000000,1e-08,2617380,0
ESCALAR,Est2(Tree),1000000,1e-08,345304,0
SET,Densa,1000000,1e-08,-1,0
SET,Est1(Hash),1000000,1e-08,3330275,33597632
SET,Est2(Tree),1000000,1e-08,8496865,2871464
GET,Densa,1000000,1e-08,-1,0
GET,Est1(Hash),1000000,1e-08,475761,0
GET,Est2(Tree),1000000,1e-08,2038018,0
TRANS,Densa,10000000,1e-11,-1,0
TRANS,Est1(Hash),10000000,1e-11,58,0
TRANS,Est2(Tree),10000000,1e-11,99,0
SOMA,Densa,10000000,1e-11,-1,0
SOMA,Est1(Hash),10000000,1e-11,184944198,320327872
SOMA,Est2(Tree),10000000,1e-11,1763607,576000
MULT,Densa,10000000,1e-11,-1,0
MULT,Est1(Hash),10000000,1e-11,159235423,320000000
MULT,Est2(Tree),10000000,1e-11,186053,0
ESCALAR,Densa,10000000,1e-11,-1,0
ESCALAR,Est1(Hash),10000000,1e-11,25161372,0
ESCALAR,Est2(Tree),10000000,1e-11,29250,0
SET,Densa,10000000,1e-11,-1,0
SET,Est1(Hash),10000000,1e-11,492251,320162160
SET,Est2(Tree),10000000,1e-11,751376,288000
GET,Densa,10000000,1e-11,-1,0
GET,Est1(Hash),10000000,1e-11,43714,0
GET,Est2(Tree),10000000,1e-11,172727,0
TRANS,Densa,10000000,1e-10,-1,0
TRANS,Est1(Hash),10000000,1e-10,147,0
TRANS,Est2(Tree),10000000,1e-10,141,0
SOMA,Densa,10000000,1e-10,-1,0
SOMA,Est1(Hash),10000000,1e-10,196725912,323209680
SOMA,Est2(Tree),10000000,1e-10,19808824,5756216
MULT,Densa,10000000,1e-10,-1,0
MULT,Est1(Hash),10000000,1e-10,160256758,320001232
MULT,Est2(Tree),10000000,1e-10,2470877,2304
ESCALAR,Densa,10000000,1e-10,-1,0
ESCALAR,Est1(Hash),10000000,1e-10,25325749,0
ESCALAR,Est2(Tree),10000000,1e-10,352562,0
SET,Densa,10000000,1e-10,-1,0
SET,Est1(Hash),10000000,1e-10,4097589,321597632
SET,Est2(Tree),10000000,1e-10,8515539,2878768
GET,Densa,10000000,1e-10,-1,0
GET,Est1(Hash),10000000,1e-10,490373,0
GET,Est2(Tree),10000000,1e-10,2117711,0
TRANS,Densa,10000000,1e-09,-1,0
TRANS,Est1(Hash),10000000,1e-09,174,0
TRANS,Est2(Tree),10000000,1e-09,30,0
SOMA,Densa,10000000,1e-09,-1,0
SOMA,Est1(Hash),10000000,1e-09,340159741,356669936
SOMA,Est2(Tree),10000000,1e-09,302337674,57251696
MULT,Densa,10000000,1e-09,-1,0
MULT,Est1(Hash),10000000,1e-09,176191088,320166128
MULT,Est2(Tree),10000000,1e-09,55627902,295960
ESCALAR,Densa,10000000,1e-09,-1,0
ESCALAR,Est1(Hash),10000000,1e-09,29218337,0
ESCALAR,Est2(Tree),10000000,1e-09,9140972,0
SET,Densa,10000000,1e-09,-1,0
SET,Est1(Hash),10000000,1e-09,48939887,338252960
SET,Est2(Tree),10000000,1e-09,108692041,28708832
GET,Densa,10000000,1e-09,-1,0
GET,Est1(Hash),10000000,1e-09,6028074,0
GET,Est2(Tree),10000000,1e-09,33375342,0
TRANS,Densa,100000000,1e-12,-1,0
TRANS,Est1(Hash),100000000,1e-12,69,0
TRANS,Est2(Tree),100000000,1e-12,31,0
SOMA,Densa,100000000,1e-12,-1,0
SOMA,Est1(Hash),100000000,1e-12,1851853234,3203209680
SOMA,Est2(Tree),100000000,1e-12,20135728,5759560
MULT,Densa,100000000,1e-12,-1,0
MULT,Est1(Hash),100000000,1e-12,1587122067,3200000000
MULT,Est2(Tree),100000000,1e-12,2606758,0
ESCALAR,Densa,100000000,1e-12,-1,0
ESCALAR,Est1(Hash),100000000,1e-12,250864238,0
ESCALAR,Est2(Tree),100000000,1e-12,372317,0
SET,Densa,100000000,1e-12,-1,0
SET,Est1(Hash),100000000,1e-12,4942302,3201597632
